gonderici_id,Toplam_fatura,Toplam_fatura_dovizi,Toplam_navlun,Toplam_navlun_dovizi,Toplam_sigorta,Toplam_sigorta_dovizi,Toplam_yurt_disi_harcamalar,Toplam_yurt_disi_harcamalarin_dovizi,Toplam_yurt_ici_harcamalar,Telafi_edici_vergi,Kap_adedi,DolayliOdeme,Komisyon,Tellaliye,RoyaltiLisans,Nakliye,Sigorta,GirisSonrasiNakliye,DigerOdemeler,VergiHarcFon,Brut_agirlik,Net_agirlik,Istatistiki_miktar,Fatura_miktari,Fatura_miktarinin_dovizi,Navlun_miktari,Navlun_miktarinin_dovizi,Istatistiki_kiymet,Sigorta_miktari,Sigorta_miktarinin_dovizi,Miktar_birimi,Adedi,Miktar,Yurtici_Diger,Yurtici_Banka,Yurtici_Depolama,Yurtici_Tahliye,Yurtici_Liman,Yurtici_Kultur,Yurtici_Kkdf,KDV_Iceren_Yurtici_Giderler_Toplami,Yurtici_Cevre,YurtDisi_Komisyon,YurtDisi_Komisyon_Dovizi,YurtDisi_Demuraj,YurtDisi_Demuraj_Dovizi,YurtDisi_Royalti,YurtDisi_Royalti_Dovizi,YurtDisi_Faiz,YurtDisi_Faiz_Dovizi,YurtDisi_Diger,YurtDisi_Diger_Dovizi,Alici,Rejim,Cikis_ulkesi,Gidecegi_sevk_ulkesi,Teslim_sekli,Teslim_yeri,Gonderici_satici_iliskisi,Islemin_niteligi,OdemeSekliKodu,VergiKodu,Gtip,Mensei_ulke,KDV_Oran,file_name
NoGonderici,19015.96,EUR,6500.0,,280.0,TRY,0.0,,7965.78,0.0,2.0,0.0,0.0,0.0,0.0,2617.75,29.66,0.0,0.0,0.0,2.47,1.16,1.0,1960.0,EUR,141.2,TRY,0.0,28.86,TRY,C62,2.0,1.0,167.39,20.61,515.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,005,005,FCA,İTALYA,,11,2,10,853710910000,004,,IM11318 - giden.xml
NoGonderici,2080.0,EUR,8500.0,,100.0,TRY,0.0,,6000.0,0.0,1.0,0.0,0.0,0.0,0.0,8500.0,100.0,0.0,0.0,0.0,15.0,13.88,20.0,2080.0,EUR,8500.0,TRY,0.0,100.0,TRY,C62,1.0,20.0,1000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4000,005,005,EXW,İTALYA,,11,1,10,841350409000,720,,IM6783 - giden.xml
NoGonderici,30270.0,EUR,0.0,,400.0,TRY,0.0,,7624.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,820.0,670.0,1.0,30270.0,EUR,0.0,,0.0,400.0,TRY,SET,1.0,1.0,1624.1,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,005,005,DAP,İSTANBUL,,,7,10,843139000000,005,,IM15349 - giden.xml
NoGonderici,15240.0,EUR,29850.0,,300.0,TRY,1500.0,TRY,6624.1,0.0,4.0,0.0,0.0,0.0,0.0,6331.82,140.56,0.0,0.0,0.0,4680.0,4500.0,4500.0,8100.0,EUR,23518.18,TRY,0.0,159.44,TRY,KGM,4.0,4500.0,863.2,0.0,2657.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,797.24,TRY,,4071,005,005,FCA,İTALYA,,,2,10,350691909019,005,,IM23840 - giden.xml
NoGonderici,4359.8,GBP,117500.0,,100.0,TRY,0.0,,5624.1,0.0,16.0,0.0,0.0,0.0,0.0,117500.0,100.0,0.0,0.0,0.0,20360.0,20000.0,20000.0,4359.8,GBP,117500.0,TRY,0.0,100.0,TRY,KGM,16.0,20000.0,1624.1,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,006,006,FCA,Birleşik Krallık,,11,2,10,250700200011,006,,IM209 - giden.xml
NoGonderici,30600.0,EUR,85850.0,,450.0,TRY,3250.0,TRY,6624.1,0.0,20.0,0.0,0.0,0.0,0.0,85850.0,450.0,0.0,0.0,0.0,20440.0,20000.0,20000.0,30600.0,EUR,85850.0,TRY,0.0,450.0,TRY,KGM,20.0,20000.0,1624.1,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,3250.0,TRY,,4071,005,005,EXW,İTALYA,,11,1,10,320710000000,005,,IM6961 - giden.xml
NoGonderici,4359.8,GBP,118500.0,,100.0,TRY,0.0,,4624.1,0.0,16.0,0.0,0.0,0.0,0.0,118500.0,100.0,0.0,0.0,0.0,20360.0,20000.0,20000.0,4359.8,GBP,118500.0,TRY,0.0,100.0,TRY,KGM,16.0,20000.0,4624.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,006,006,FCA,Birleşik Krallık,,11,2,10,250700200011,006,,IM181 - giden.xml
NoGonderici,68000.0,EUR,123500.0,,850.0,TRY,3600.0,TRY,6100.0,0.0,3.0,0.0,0.0,0.0,0.0,123500.0,850.0,0.0,0.0,0.0,22149.0,20064.0,2.0,68000.0,EUR,123500.0,TRY,0.0,850.0,TRY,SET,3.0,2.0,2000.0,100.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,3600.0,TRY,,4000,005,005,FCA,İTALYA,,,1,10,847480100000,005,,IM23243 - giden.xml
NoGonderici,7653.36,EUR,7300.0,,150.0,TRY,0.0,,6924.1,0.0,2.0,0.0,0.0,0.0,0.0,7300.0,150.0,0.0,0.0,0.0,1578.0,1372.0,286.0,7653.36,EUR,7300.0,TRY,0.0,150.0,TRY,C62,2.0,286.0,1624.1,300.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,061,068,FCA,ÇEK CUMHURİYETİ,,,2,10,690320900000,061,,IM25108 - giden.xml
NoGonderici,47914.79,EUR,95500.0,,550.0,TRY,0.0,,5624.1,0.0,21.0,0.0,0.0,0.0,0.0,95500.0,550.0,0.0,0.0,0.0,21059.5,19799.5,19799.5,47914.79,EUR,95500.0,TRY,0.0,550.0,TRY,KGM,21.0,19799.5,1624.1,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,4071,004,004,FCA,ALMANYA,,11,2,10,701990009000,004,,IM707 - giden.xml
